sunspot_month,sunspot_number
1750-01-01,122.2
1750-02-01,126.5
1750-03-01,148.7
1750-04-01,147.2
1750-05-01,150
1750-06-01,166.7
1750-07-01,142.3
1750-08-01,171.7
1750-09-01,152
1750-10-01,109.5
1750-11-01,105.5
1750-12-01,125.7
1751-01-01,116.7
1751-02-01,72.5
1751-03-01,75.5
1751-04-01,94
1751-05-01,101.2
1751-06-01,84.5
1751-07-01,110.5
1751-08-01,99.7
1751-09-01,39.2
1751-10-01,38.7
1751-11-01,47.5
1751-12-01,73.3
1752-01-01,58.3
1752-02-01,83.3
1752-03-01,118.3
1752-04-01,98.8
1752-05-01,99.5
1752-06-01,66
1752-07-01,130.7
1752-08-01,48.8
1752-09-01,45.2
1752-10-01,77.7
1752-11-01,62.7
1752-12-01,66.7
1753-01-01,73.3
1753-02-01,53.3
1753-03-01,76.2
1753-04-01,63.3
1753-05-01,60
1753-06-01,52.8
1753-07-01,36.7
1753-08-01,65
1753-09-01,46.7
1753-10-01,41.7
1753-11-01,33.3
1753-12-01,11.2
1754-01-01,0
1754-02-01,5
1754-03-01,2.8
1754-04-01,22.8
1754-05-01,34.5
1754-06-01,44.5
1754-07-01,31.3
1754-08-01,20.5
1754-09-01,13.7
1754-10-01,40.2
1754-11-01,22
1754-12-01,7
1755-01-01,17
1755-02-01,18.7
1755-03-01,11.3
1755-04-01,10.8
1755-05-01,0
1755-06-01,0
1755-07-01,14.3
1755-08-01,5.3
1755-09-01,29.7
1755-10-01,39.5
1755-11-01,11.3
1755-12-01,33.3
1756-01-01,20.8
1756-02-01,11.8
1756-03-01,9
1756-04-01,15.7
1756-05-01,20.8
1756-06-01,21.5
1756-07-01,6
1756-08-01,10.7
1756-09-01,19.7
1756-10-01,23.8
1756-11-01,28.3
1756-12-01,15.7
1757-01-01,23.5
1757-02-01,35.3
1757-03-01,43.7
1757-04-01,50
1757-05-01,63.5
1757-06-01,21.3
1757-07-01,41.7
1757-08-01,85.5
1757-09-01,66.2
1757-10-01,54.2
1757-11-01,107.8
1757-12-01,55.8
1758-01-01,62.7
1758-02-01,86.7
1758-03-01,81.7
1758-04-01,120.5
1758-05-01,77.3
1758-06-01,75
1758-07-01,73.3
1758-08-01,64.5
1758-09-01,104.2
1758-10-01,62.8
1758-11-01,71.7
1758-12-01,71.7
1759-01-01,80.5
1759-02-01,73.3
1759-03-01,78
1759-04-01,78.3
1759-05-01,81.7
1759-06-01,83.3
1759-07-01,85
1759-08-01,118.8
1759-09-01,128.7
1759-10-01,99.5
1759-11-01,77.2
1759-12-01,95
1760-01-01,112.2
1760-02-01,99.2
1760-03-01,124.5
1760-04-01,97.2
1760-05-01,120
1760-06-01,80.5
1760-07-01,110
1760-08-01,126
1760-09-01,102.2
1760-10-01,84.3
1760-11-01,99.5
1760-12-01,101.7
1761-01-01,116.7
1761-02-01,151.7
1761-03-01,134.5
1761-04-01,119.5
1761-05-01,178.7
1761-06-01,165.5
1761-07-01,156.8
1761-08-01,151.8
1761-09-01,167.8
1761-10-01,147.8
1761-11-01,149.5
1761-12-01,76.7
1762-01-01,73
1762-02-01,121.3
1762-03-01,76.2
1762-04-01,100.3
1762-05-01,66.5
1762-06-01,128.5
1762-07-01,56.3
1762-08-01,112.8
1762-09-01,114.2
1762-10-01,115.5
1762-11-01,129.7
1762-12-01,128.7
1763-01-01,94.2
1763-02-01,53.2
1763-03-01,57
1763-04-01,54.8
1763-05-01,54.5
1763-06-01,59.7
1763-07-01,90.3
1763-08-01,44.2
1763-09-01,113.5
1763-10-01,77.2
1763-11-01,101.5
1763-12-01,102.3
1764-01-01,99.5
1764-02-01,99.5
1764-03-01,67
1764-04-01,57.3
1764-05-01,73.8
1764-06-01,50
1764-07-01,50
1764-08-01,50
1764-09-01,47
1764-10-01,46.7
1764-11-01,43.3
1764-12-01,42.8
1765-01-01,40
1765-02-01,43.3
1765-03-01,41.7
1765-04-01,36.7
1765-05-01,33.7
1765-06-01,33.3
1765-07-01,45
1765-08-01,49.5
1765-09-01,26.7
1765-10-01,23.3
1765-11-01,23.3
1765-12-01,21.7
1766-01-01,20
1766-02-01,18.3
1766-03-01,61
1766-04-01,10
1766-05-01,44.7
1766-06-01,5
1766-07-01,5.5
1766-08-01,6.7
1766-09-01,7.2
1766-10-01,8.3
1766-11-01,9.5
1766-12-01,32
1767-01-01,45.7
1767-02-01,50
1767-03-01,71.7
1767-04-01,54.8
1767-05-01,49.7
1767-06-01,55.5
1767-07-01,36.5
1767-08-01,68
1767-09-01,71.2
1767-10-01,73.5
1767-11-01,91.2
1767-12-01,88.8
1768-01-01,89.2
1768-02-01,110.2
1768-03-01,77.2
1768-04-01,71.2
1768-05-01,129.5
1768-06-01,129
1768-07-01,87.7
1768-08-01,111.3
1768-09-01,124.7
1768-10-01,129.7
1768-11-01,151
1768-12-01,186.3
1769-01-01,123.2
1769-02-01,107
1769-03-01,107.2
1769-04-01,161.2
1769-05-01,122.7
1769-06-01,157.3
1769-07-01,197.7
1769-08-01,200.5
1769-09-01,248
1769-10-01,263.7
1769-11-01,246.8
1769-12-01,186.7
1770-01-01,173.3
1770-02-01,237.5
1770-03-01,133.5
1770-04-01,85
1770-05-01,116.8
1770-06-01,138.8
1770-07-01,183
1770-08-01,210.5
1770-09-01,174
1770-10-01,172.7
1770-11-01,220.3
1770-12-01,170.5
1771-01-01,60
1771-02-01,77
1771-03-01,77.8
1771-04-01,108.2
1771-05-01,254.5
1771-06-01,199.2
1771-07-01,112.8
1771-08-01,97.5
1771-09-01,169
1771-10-01,150
1771-11-01,166.2
1771-12-01,159.5
1772-01-01,168.2
1772-02-01,151.3
1772-03-01,51.8
1772-04-01,153.7
1772-05-01,63.3
1772-06-01,95
1772-07-01,128.8
1772-08-01,93.7
1772-09-01,84.2
1772-10-01,131
1772-11-01,102.2
1772-12-01,106.7
1773-01-01,91
1773-02-01,48.3
1773-03-01,85.3
1773-04-01,54.8
1773-05-01,68.5
1773-06-01,47.3
1773-07-01,46.2
1773-08-01,21.2
1773-09-01,48.8
1773-10-01,43.8
1773-11-01,68.2
1773-12-01,72
1774-01-01,78
1774-02-01,109
1774-03-01,92.8
1774-04-01,73
1774-05-01,85.5
1774-06-01,47.5
1774-07-01,29.2
1774-08-01,11
1774-09-01,13.2
1774-10-01,23.3
1774-11-01,29.5
1774-12-01,20.3
1775-01-01,7.3
1775-02-01,0
1775-03-01,19.3
1775-04-01,18.7
1775-05-01,6.5
1775-06-01,20.5
1775-07-01,1.7
1775-08-01,13.2
1775-09-01,5.3
1775-10-01,9.3
1775-11-01,25.2
1775-12-01,13.2
1776-01-01,36.2
1776-02-01,19.3
1776-03-01,10.5
1776-04-01,36.3
1776-05-01,18.7
1776-06-01,31.7
1776-07-01,1.7
1776-08-01,40.3
1776-09-01,26.7
1776-10-01,50
1776-11-01,58.3
1776-12-01,66.7
1777-01-01,75
1777-02-01,60.8
1777-03-01,65
1777-04-01,159.2
1777-05-01,133.8
1777-06-01,134.5
1777-07-01,158.3
1777-08-01,186.7
1777-09-01,193.7
1777-10-01,177.5
1777-11-01,243.3
1777-12-01,262.2
1778-01-01,295.5
1778-02-01,182.2
1778-03-01,223.3
1778-04-01,241.7
1778-05-01,398.2
1778-06-01,286
1778-07-01,255
1778-08-01,233.3
1778-09-01,286.2
1778-10-01,260.5
1778-11-01,250.5
1778-12-01,175
1779-01-01,191.2
1779-02-01,276.2
1779-03-01,196.7
1779-04-01,241.7
1779-05-01,233.3
1779-06-01,189.5
1779-07-01,238.3
1779-08-01,186.7
1779-09-01,185
1779-10-01,206.7
1779-11-01,190
1779-12-01,183.3
1780-01-01,116.7
1780-02-01,163.3
1780-03-01,163.3
1780-04-01,158.3
1780-05-01,178.7
1780-06-01,146.7
1780-07-01,143.3
1780-08-01,143.3
1780-09-01,156.2
1780-10-01,128.3
1780-11-01,100
1780-12-01,97.8
1781-01-01,164.5
1781-02-01,124.5
1781-03-01,88.3
1781-04-01,113.8
1781-05-01,174.5
