sunspot_month,sunspot_number
1700-05-01,8.3
1701-05-01,18.3
1702-05-01,26.7
1703-05-01,38.3
1704-05-01,60
1705-05-01,96.7
1706-05-01,48.3
1707-05-01,33.3
1708-05-01,16.7
1709-05-01,13.3
1710-05-01,5
1711-05-01,0
1712-05-01,0
1713-05-01,3.3
1714-05-01,18.3
1715-05-01,45
1716-05-01,78.3
1717-05-01,105
1718-05-01,100
1719-05-01,65
1720-05-01,46.7
1721-05-01,43.3
1722-05-01,36.7
1723-05-01,18.3
1724-05-01,35
1725-05-01,66.7
1726-05-01,130
1727-05-01,203.3
1728-05-01,171.7
1729-05-01,121.7
1730-05-01,78.3
1731-05-01,58.3
1732-05-01,18.3
1733-05-01,8.3
1734-05-01,26.7
1735-05-01,56.7
1736-05-01,116.7
1737-05-01,135
1738-05-01,185
1739-05-01,168.3
1740-05-01,121.7
1741-05-01,66.7
1742-05-01,33.3
1743-05-01,26.7
1744-05-01,8.3
1745-05-01,18.3
1746-05-01,36.7
1747-05-01,66.7
1748-05-01,100
1749-05-01,134.8
1750-05-01,139
1751-05-01,79.5
1752-05-01,79.7
1753-05-01,51.2
1754-05-01,20.3
1755-05-01,16
1756-05-01,17
1757-05-01,54
1758-05-01,79.3
1759-05-01,90
1760-05-01,104.8
1761-05-01,143.2
1762-05-01,102
1763-05-01,75.2
1764-05-01,60.7
1765-05-01,34.8
1766-05-01,19
1767-05-01,63
1768-05-01,116.3
1769-05-01,176.8
1770-05-01,168
1771-05-01,136
1772-05-01,110.8
1773-05-01,58
1774-05-01,51
1775-05-01,11.7
1776-05-01,33
1777-05-01,154.2
1778-05-01,257.3
1779-05-01,209.8
1780-05-01,141.3
1781-05-01,113.5
1782-05-01,64.2
1783-05-01,38
1784-05-01,17
1785-05-01,40.2
1786-05-01,138.2
1787-05-01,220
1788-05-01,218.2
1789-05-01,196.8
1790-05-01,149.8
1791-05-01,111
1792-05-01,100
1793-05-01,78.2
1794-05-01,68.3
1795-05-01,35.5
1796-05-01,26.7
1797-05-01,10.7
1798-05-01,6.8
1799-05-01,11.3
1800-05-01,24.2
1801-05-01,56.7
1802-05-01,75
1803-05-01,71.8
1804-05-01,79.2
1805-05-01,70.3
1806-05-01,46.8
1807-05-01,16.8
1808-05-01,13.5
1809-05-01,4.2
1810-05-01,0
1811-05-01,2.3
1812-05-01,8.3
1813-05-01,20.3
1814-05-01,23.2
1815-05-01,59
1816-05-01,76.3
1817-05-01,68.3
1818-05-01,52.9
1819-05-01,38.5
1820-05-01,24.2
1821-05-01,9.2
1822-05-01,6.3
1823-05-01,2.2
1824-05-01,11.4
1825-05-01,28.2
1826-05-01,59.9
1827-05-01,83
1828-05-01,108.5
1829-05-01,115.2
1830-05-01,117.4
1831-05-01,80.8
1832-05-01,44.3
